year,type,name,postal_code,num_cardholders,revenue_self_generated,revenue_total_operating,revenue_total_capital,expend_materials,expend_staff,expend_total_operating,num_print_volumes,num_e_book_audio_titles,hoopla,num_e_learning_services,num_took_e_learning_courses,num_workstations_internet,total_direct_circulation,program_attendance,num_tech_programs,ill_num_borrowed,ill_num_lent,num_use_wifi,num_visits_irl,num_visits_websites,population,households
2019,Contracting LSB,Hallebourg LSB,P0L1L0,0,0,428,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0
2019,Public or Union Library,Halton Hills,L7G2A3,18782,114807,4022604,143800,400339,3405892,4413412,105706,80544,1,1,5865,28,524947,26134,158,2847,1373,1396,5227,10193,61161,22049
2019,Public or Union Library,Hamilton,L8N4E4,167441,446401,33113734,0,2972176,21212805,33113734,696160,84465,0,4,17058,401,7229910,188254,664,1661,2811,25689,71841,85793,579000,237200
2019,Contracting Municipality,Hamilton Twp,K9A4W5,0,0,312564,0,0,0,312564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10942,4677
2019,Public or Union Library,Hanover,N4N2P1,1925,76742,666761,0,53017,392911,665475,26954,90464,0,0,0,14,60627,5343,161,653,1163,201,1381,389,7688,3642
2019,Contracting Municipality,Harley Twp,P0J1P0,0,0,2486,0,0,0,2486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,209
2019,Public or Union Library,Hastings Highlands Twp,K0L2S0,1545,12909,230790,0,17705,131567,229593,11787,80075,0,0,0,11,16480,4106,0,428,0,110,373,65,4075,1820
2019,Public or Union Library,Havelock-Belmont-Methuen Twp,K0L1Z0,1825,1305,140784,0,18087,64548,140784,37351,80075,0,1,1,14,20288,186,0,277,0,11,137,296,4535,4359
2019,Contracting LSB,Hawk Junction LSB,P0S1G0,0,0,547,0,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0
2019,Public or Union Library,Hawkesbury,K6A1H1,6619,24638,565782,0,40255,445665,558167,58294,80075,0,1,0,6,52725,2551,2,576,647,49,1174,104,10263,5268
2019,Public or Union Library,"Head, Clara & Maria",K0J2K0,122,6448,15981,0,3605,6800,12432,3650,80075,0,0,0,4,3573,564,0,0,0,10,8,4,206,350
2019,Public or Union Library,Hearst Twp,P0L1N0,1232,14769,276461,2835,18602,176917,273998,19963,6190,0,1,2,6,25269,666,3,234,140,9,517,0,5070,2472
2019,First Nations Library,Henvey Inlet FN,P0G1J0,70,0,33973,0,500,20730,25880,2725,0,0,0,0,3,75,30,0,0,0,95,80,0,192,0
